"","Date","610","657","653","608","656","mean"
"1",1980-01-01,1.02,0,0,NA,0,0.255
"2",1980-01-02,0,0,13,NA,0,3.25
"3",1980-01-03,0,8.5,10.6,NA,0,4.775
"4",1980-01-04,7.87,2,0,NA,0,2.4675
"5",1980-01-05,5.08,0,0,NA,0,1.27
"6",1980-01-06,0,0,0,NA,0,0
"7",1980-01-07,0,0,0,NA,0,0
"8",1980-01-08,0,0,0,NA,0,0
"9",1980-01-09,0,0,0,NA,0,0
"10",1980-01-10,0,0,0,NA,0,0
"11",1980-01-11,0,0,0,NA,0,0
"12",1980-01-12,0,0,0,NA,0,0
"13",1980-01-13,0,0,0,NA,0,0
"14",1980-01-14,0,0,0,NA,0,0
"15",1980-01-15,0,0,0,NA,0,0
"16",1980-01-16,0,0,0,NA,0,0
"17",1980-01-17,NA,0,0,NA,0,0
"18",1980-01-18,0,0,0,NA,0,0
"19",1980-01-19,0,0,0,NA,0,0
"20",1980-01-20,0,0,0,NA,0,0
"21",1980-01-21,0,0,0,NA,0,0
"22",1980-01-22,0,0,0,NA,0,0
"23",1980-01-23,0,0,0,NA,0,0
"24",1980-01-24,0,0,0,NA,0,0
"25",1980-01-25,0,0,0,NA,0,0
"26",1980-01-26,0,0,0,NA,0,0
"27",1980-01-27,0,0,0,NA,0,0
"28",1980-01-28,0,0,0,NA,0,0
"29",1980-01-29,0,0,0,NA,0,0
"30",1980-01-30,0,0,0,NA,0,0
"31",1980-01-31,0,0,0,NA,0,0
"32",1980-02-01,0,0,0,NA,0,0
"33",1980-02-02,0,0,0,NA,0,0
"34",1980-02-03,0,0,0,NA,0,0
"35",1980-02-04,0,0,2.5,NA,0,0.625
"36",1980-02-05,0,0,0,NA,0,0
"37",1980-02-06,1.02,0,0,NA,0,0.255
"38",1980-02-07,0,0,0,NA,0,0
"39",1980-02-08,0,0,0,NA,0,0
"40",1980-02-09,0,0,6,NA,0,1.5
"41",1980-02-10,1.02,7,0,NA,0,2.005
"42",1980-02-11,12.95,0,0,NA,0,3.2375
"43",1980-02-12,0,0,0,NA,0,0
"44",1980-02-13,0,0,0,NA,0,0
"45",1980-02-14,0,0,0,NA,0,0
"46",1980-02-15,NA,0,0,NA,0,0
"47",1980-02-16,0.51,0,0,NA,0,0.1275
"48",1980-02-17,0,0,0,NA,0,0
"49",1980-02-18,0,0,0,NA,0,0
"50",1980-02-19,0,0,0,NA,0,0
"51",1980-02-20,0,0,0,NA,0,0
"52",1980-02-21,0,0,0,NA,0,0
"53",1980-02-22,0,0,0,NA,0,0
"54",1980-02-23,0,0,0,NA,0,0
"55",1980-02-24,0,0,0,NA,0,0
"56",1980-02-25,0,0,3,NA,0,0.75
"57",1980-02-26,0,0,0,NA,0,0
"58",1980-02-27,1.02,0,0,NA,0,0.255
"59",1980-02-28,0,0,0,NA,0,0
"60",1980-02-29,NA,0,0,NA,0,0
"61",1980-03-01,0,0,0,NA,0,0
"62",1980-03-02,0,0,0,NA,0,0
"63",1980-03-03,0,0,0,NA,0,0
"64",1980-03-04,0,0,0,NA,0,0
"65",1980-03-05,0,0,0,NA,0,0
"66",1980-03-06,0,0,0,NA,0,0
"67",1980-03-07,0,0,0,NA,0,0
"68",1980-03-08,1.02,0,0,NA,0,0.255
"69",1980-03-09,0,0,0,NA,0,0
"70",1980-03-10,0,0,0,NA,0,0
"71",1980-03-11,0,0,0,NA,0,0
"72",1980-03-12,0,0.5,0,NA,8.7,2.3
"73",1980-03-13,0,0,0,NA,0,0
"74",1980-03-14,0,0,0,NA,0,0
"75",1980-03-15,0,0,0,NA,0,0
"76",1980-03-16,0,0,0,NA,0,0
"77",1980-03-17,0,0,0,NA,0,0
"78",1980-03-18,0,0,0,NA,0,0
"79",1980-03-19,0,0,0,NA,0,0
"80",1980-03-20,0,0,0,NA,0,0
"81",1980-03-21,0,0,0,NA,0,0
"82",1980-03-22,0,0,0,NA,0,0
"83",1980-03-23,0,0,0,NA,0,0
"84",1980-03-24,0,0,0,NA,0,0
"85",1980-03-25,0,0,0,NA,0,0
"86",1980-03-26,0,0,0,NA,0,0
"87",1980-03-27,0,0,0,NA,0,0
"88",1980-03-28,0,0,0,NA,0,0
"89",1980-03-29,0,0,0,NA,0,0
"90",1980-03-30,0,0,0,NA,0,0
"91",1980-03-31,0,0,0,NA,0,0
